rule_id,domain,page_type,topic,title,applies_to,keywords,requirement,preferred_pattern,anti_pattern,default_value,notes
APV-008,approval-page,approval-page,bottom-bar-buttons,Bottom bar right side has decision buttons with semantic colors,Approval page bottom bar decision buttons,"approval-page,bottom-bar,button,countersign,transfer,reject,approve",Bottom bar right side contains flow decision buttons: countersign (gray border), transfer review (pink border), reject (red border + highlight),Render buttons in importance order with approve as rightmost primary; use semantic colors; enforce permission control and mandatory comment for reject,Do not place approve as non-primary or skip permission control for decision buttons,gray=counter|pink=transfer|red=reject|purple=approve,Reject may require mandatory comment input
APV-011,approval-page,approval-page,typography-sizes,Font sizes: title 18px, body 14px, small/label 12px, slot hint 12px italic,Approval page typography,"approval-page,typography,font-size,title,body,small,italic",Apply the specified font sizes consistently across the approval page,Do not use arbitrary font sizes or mix up the typography hierarchy,,title=18px|body=14px|small=12px|hint=12px italic,Strict typography hierarchy
APV-012,approval-page,approval-page,spacing-rules,Spacing: module gap 24px, inner element gap 12px, button group gap 8px,Approval page spacing system,"approval-page,spacing,module,inner,button,gap,24px,12px,8px",Spacing rules: 24px between modules; 12px between inner elements within a module; 8px between buttons in a button group, 12px gap between inner elements, and 8px gap between grouped buttons,Do not use inconsistent spacing or mix up the three spacing levels,,24px|12px|8px,Three-level spacing system
APV-013,approval-page,approval-page,border-radius,Border radius: cards/buttons 4px, inputs 4px, modals 8px,Approval page border radius,"approval-page,border-radius,card,button,input,modal,4px,8px",Border radius rules: cards and buttons use 4px; input fields use 4px; modals and dialogs use 8px,Do not mix radius values or apply modal radius to card elements,,cards/buttons/inputs=4px|modals=8px,Differentiated radius by component type
APV-014,approval-page,approval-page,shadow,Floating layers and modals use box-shadow 0 2px 8px rgba(0,0,0,0.1),Approval page shadow,"approval-page,shadow,box-shadow,floating,modal,elevation",0,0,0.1) for elevation effect,Apply the specified box-shadow to all floating elements and modals,Do not use heavier shadows or skip elevation on floating layers,,0 2px 8px rgba(0,0,0,0.1),Consistent elevation for floating elements
APV-015,approval-page,approval-page,responsive,Mobile hides non-core buttons and keeps critical actions with horizontal scroll for tables,Approval page responsive design,"approval-page,responsive,mobile,table,scroll,buttons",Responsive rules: hide non-core buttons on mobile while keeping critical operations; tables support horizontal scrolling for compatibility; maintain key approval workflow on small screens,Show only critical buttons on mobile; enable horizontal scroll for data tables; ensure approval flow remains usable,Do not remove critical approval buttons on mobile or prevent table horizontal scrolling,,Mobile-first approach for key operations
LAY-016,layout,all,table-action-column,Use icon buttons for table action column,Table action column buttons icons,"layout,table,action,column,icon,button",Table action column must use icon buttons instead of text buttons; each action is represented by a single icon with tooltip on hover; icons should follow a consistent icon library,Use icon-only buttons with tooltip for table row actions; group multiple actions with icon-only style; use semantic icon colors (e.g. edit=blue delete=red view=default),Do not use text-only buttons or icon+text combination in table action column; do not mix text and icon button styles,icon buttons with tooltip,Applies to all table action columns across all page types
LAY-017,layout,all,table-column-width,Auto-fit table column widths with horizontal scroll for overflow,Table column width responsive overflow,"layout,table,column,width,auto-fit,scroll,overflow",Table columns should auto-fit container width; when total column width exceeds table container add horizontal scrollbar; avoid excessive blank space in columns; set min-width on important columns to prevent compression,Use table-layout auto or flex-based layout; enable overflow-x auto on table wrapper; set appropriate min-width per column,Do not force all columns to fixed narrow widths or leave large blank areas; do not hide overflow content without scrollbar,,Applies to all tables across all page types
CRE-016,create-page,create-page,footer-button-order,Footer buttons ordered by importance ascending left to right,Create/edit page footer button order,"create-page,footer,button,order,layout,importance",Footer action buttons must be ordered from lowest to highest importance left to right with the primary action button placed at the far right; destructive actions (e.g. cancel) should be on the left side,Order buttons by ascending importance: lowest importance leftmost and highest importance rightmost as primary with prominent style,Do not place primary button in non-rightmost position or randomize button order,ascending importance left-to-right,Primary action button is always rightmost
CRE-017,create-page,create-page,header-tag-position,Status tag should be placed to the right of title in header area,Create/edit page header tag layout,"create-page,header,title,tag,status,position",When the page has a header area containing title or other info any status tag or status indicator should be positioned to the right of the title and other header information,Place status tag inline with title aligned to the right side of the title text,Do not place status tag above or below the title or in a separate row,title right side,Status tag follows title inline
APV-016,approval-page,approval-page,footer-button-order,Decision buttons ordered by importance ascending left to right,Approval page footer button order,"approval-page,footer,button,order,layout,importance,decision",Decision buttons must be ordered from lowest to highest importance left to right with the primary approve action button placed at the far right; destructive actions (e.g. reject) should use error/danger style and be placed left of primary,Order buttons by ascending importance: lowest importance leftmost and highest importance rightmost as primary with prominent style; destructive actions use error style,Do not place primary button in non-rightmost position or mix up semantic button colors,ascending importance left-to-right,Primary approve button is always rightmost; destructive actions use error style
APV-017,approval-page,approval-page,header-tag-position,Status tag should be placed to the right of title in header area,Approval page header tag layout,"approval-page,header,title,tag,status,position",When the page has a header area containing title or other info any status tag or status indicator should be positioned to the right of the title and other header information,Place status tag inline with title aligned to the right side of the title text,Do not place status tag above or below the title or in a separate row,title right side,Status tag follows title inline
LAY-018,layout,all,form-label-width,Label width 80px for search forms and max 112px with ellipsis for other forms,Form label width layout,"layout,form,label,width,80px,112px,ellipsis,search,query",In search/query/filter forms label width is fixed at 80px; in all other form modes (create/edit/detail) label max width is 112px with text-overflow ellipsis for longer labels,Use fixed 80px label width in search forms; use max-width 112px with text-overflow ellipsis in other form modes,Do not use inconsistent label widths within the same form mode or let long labels push form layout out of alignment,80px search|112px others max,112px with ellipsis overflow
LAY-019,layout,all,form-row-spacing,20px vertical gap between form rows accounting for 18px default form margin,Form row vertical spacing,"layout,form,spacing,row,gap,20px,18px,2px,margin",Vertical spacing between form rows should be 20px; since form components have a built-in default bottom margin of 18px an additional 2px gap should be applied to achieve the target 20px spacing,Apply 20px gap (or 2px extra on top of the 18px default form margin) between form rows,Do not use inconsistent row spacing or ignore the default 18px form margin when calculating row gap,20px total|18px default|2px extra,Target 20px row gap net effect
CRE-018,create-page,create-page,form-default-state,Form fields in editable mode by default,Create/edit page form state,"create-page,form,state,editable,disabled,readonly",Form fields in create/edit pages should be in editable mode by default; all form inputs controls and interactive elements must be accessible and editable unless explicitly disabled for specific business logic,Set form fields to editable state by default; only disable individual fields when business rules require it,Do not set entire form or all fields to disabled/readonly state in create/edit pages,editable,Applies to all create and edit page forms
APV-018,approval-page,approval-page,form-default-state,Form fields in disabled/read-only mode by default,Approval page form state,"approval-page,form,state,disabled,readonly,view",Form fields in approval pages and view-only pages should be in disabled/read-only mode by default; all form inputs controls and interactive elements must be non-editable unless explicitly enabled for specific business logic,Set form fields to disabled or readonly state by default; only enable individual fields when business rules require it,Do not leave form fields editable in approval or view-only pages,disabled/read-only,Applies to all approval and view-only page forms
